timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1676106693.728922,-2.02,1.68,-9.0,0.05,-0.1,0.01
1676106693.7701175,-2.06,1.64,-9.08,0.04,-0.09,0.02
1676106693.7961657,-2.49,1.43,-9.08,0.08,-0.13,0.02
1676106693.8217216,-2.04,1.64,-9.0,0.08,-0.21,0.02
1676106693.85656,-1.78,1.69,-8.96,0.09,-0.11,-0.02
1676106693.8853204,-2.14,1.7,-8.95,0.08,-0.07,-0.06
1676106693.9125552,-1.8,1.75,-8.97,0.03,-0.1,-0.0
1676106693.9419937,-1.71,1.52,-9.03,0.01,-0.06,0.07
1676106693.978691,-2.68,1.16,-9.09,0.06,-0.12,0.11
1676106694.0087306,-2.65,1.63,-8.95,0.12,-0.22,0.02
1676106694.0807807,-1.94,1.99,-8.92,0.09,-0.22,-0.05
1676106694.11089,-2.27,1.64,-9.12,0.07,-0.11,0.07
1676106694.1403,-1.83,1.65,-9.04,0.06,-0.16,-0.02
1676106694.1768112,-1.86,1.65,-9.08,0.09,-0.12,-0.01
1676106694.2038846,-1.74,1.76,-8.96,0.11,-0.07,-0.1
1676106694.2335742,-2.41,2.02,-8.9,0.05,-0.07,0.09
1676106694.2730503,-2.34,1.85,-8.89,-0.02,-0.18,0.09
1676106694.3057337,-2.02,1.25,-9.36,0.04,-0.12,0.02
1676106694.3694174,-2.02,1.45,-9.27,0.09,-0.12,-0.0
1676106694.3882182,-2.26,1.51,-8.92,0.1,-0.2,-0.03
1676106694.417317,-1.79,1.7,-8.99,0.09,-0.17,-0.1
1676106694.500798,-1.88,1.77,-8.99,0.08,-0.11,-0.06
1676106694.5261748,-2.07,1.72,-9.08,0.04,-0.09,0.03
1676106694.5562174,-1.95,1.56,-9.03,0.04,-0.11,0.01
1676106694.58032,-2.19,1.73,-8.91,0.06,-0.06,-0.0
1676106694.6117384,-2.36,1.58,-9.06,0.06,-0.1,0.06
1676106694.665174,-2.43,1.5,-9.09,0.07,-0.13,0.06
1676106694.6952832,-2.36,1.51,-8.89,0.07,-0.11,0.02
1676106694.7255025,-2.41,1.59,-9.04,0.06,-0.14,0.01
1676106694.7530851,-2.24,1.56,-9.0,0.08,-0.17,0.06
1676106694.7887738,-2.0,1.64,-9.11,0.1,-0.14,-0.01
1676106694.8153834,-1.78,1.83,-8.99,0.07,-0.08,0.01
1676106694.8447433,-2.37,1.69,-9.01,0.06,-0.1,0.06
1676106694.868841,-2.37,1.63,-8.95,0.06,-0.18,0.03
1676106694.904282,-2.05,1.71,-9.08,0.07,-0.14,-0.03
1676106694.962325,-1.94,1.74,-9.04,0.07,-0.11,-0.02
1676106694.9992406,-2.09,1.74,-8.98,0.05,-0.06,0.0
1676106695.035352,-2.05,1.52,-9.02,0.07,-0.17,0.02
1676106695.0717912,-2.19,1.45,-8.97,0.1,-0.13,-0.03
1676106695.1224632,-2.04,1.7,-8.96,0.08,-0.12,-0.03
1676106695.1614783,-2.22,1.75,-8.91,0.08,-0.13,0.02
1676106695.20521,-2.0,1.67,-9.14,0.09,-0.13,-0.02
1676106695.262334,-2.22,1.81,-9.03,0.06,-0.13,0.02
1676106695.2974024,-2.23,1.78,-9.02,0.07,-0.12,0.03
1676106695.3397863,-2.24,1.73,-8.9,0.06,-0.12,0.03
1676106695.36844,-2.21,1.67,-8.92,0.04,-0.14,0.03
1676106695.4037194,-2.23,1.64,-8.94,0.06,-0.14,0.03
1676106695.435435,-2.26,1.54,-9.02,0.07,-0.14,0.01
1676106695.4864416,-2.21,1.45,-9.01,0.09,-0.14,0.03
1676106695.5148995,-2.08,1.69,-8.98,0.1,-0.12,0.05
1676106695.57202,-2.11,1.9,-9.03,0.08,-0.09,0.0
1676106695.6121776,-2.36,1.54,-9.01,0.06,-0.09,0.08
1676106695.643299,-2.46,1.66,-8.84,0.05,-0.09,0.04
1676106695.6782055,-2.36,1.76,-8.91,0.0,-0.12,0.05
1676106695.7138257,-2.49,1.36,-9.15,0.04,-0.18,0.03
1676106695.7693255,-1.91,1.58,-9.03,0.08,-0.17,-0.04
1676106695.805051,-2.04,1.66,-8.94,0.07,-0.13,0.03
1676106695.8745282,-2.24,1.49,-9.14,0.1,-0.13,-0.03
1676106695.8957732,-2.04,1.66,-9.08,0.11,-0.11,-0.02
1676106695.9275749,-2.21,1.7,-8.89,0.07,-0.07,0.07
1676106695.9562607,-2.41,1.81,-8.8,0.06,-0.09,0.07
1676106695.98536,-2.38,1.53,-8.94,0.06,-0.1,0.05
1676106696.015631,-2.24,1.72,-8.95,0.09,-0.11,0.02
